Beam,Station,M3
205,0.2,-12.9489
205,0.6667,4.238
205,1.1333,14.3664
205,1.6,16.3146
205,2.0667,9.4667
205,2.5333,-5.3213
205,3,-26.9275
206,0.1,-30.0819
206,0.6,3.035
206,1.1,28.233
206,1.6,44.1319
206,2.1,49.5817
206,2.6,44.3522
206,3.1,28.6736
206,3.6,3.6959
206,4.1,-29.2007
207,0.1,-27.2164
207,0.5875,6.6
207,1.075,32.9213
207,1.5625,50.4688
207,2.05,58.268
207,2.5375,56.1777
207,3.025,44.2611
207,3.5125,23.3156
207,4,-5.3874
208,0.1,1.4111
208,0.5667,21.6754
208,1.0333,35.1217
208,1.5,40.6278
208,1.9667,37.4456
208,2.4333,26.3232
208,2.9,8.3827
209,0.1,4.8487
209,0.5667,6.2371
209,1.0333,0.8542
209,1.5,-11.3
210,0.1,-12.2261
210,0.4667,-2.263
210,0.8333,3.6862
210,1.2,5.7319
210,1.2,5.7319
210,1.7,-4.4988
210,2.2,-22.037
211,0.1,-22.3969
211,0.4667,-10.769
211,0.8333,-3.1551
211,1.2,0.5553
211,1.2,0.5553
211,1.65,-5.9465
211,2.1,-18.2918
212,0.1,-16.9465
212,0.5667,-4.1443
212,1.0333,1.8865
212,1.5,1.1461
213,0.1,4.5964
213,0.5667,23.3501
213,1.0333,35.2858
213,1.5,39.2813
213,1.9667,34.5884
213,2.4333,21.9554
213,2.9,2.5043
214,0,-67.1156
214,0.45,-11.9048
214,0.9,38.7059
214,0.9,29.118
214,1.2667,44.3497
214,1.6333,54.9437
214,2,60.5727
214,2,57.8836
214,2.5,47.9817
214,3,28.4581
214,3.5,-0.6855
214,4,-37.7414
215,0.1,-15.1132
215,0.575,11.8065
215,1.05,31.5038
215,1.525,42.7953
215,2,44.6655
215,2.475,36.8843
215,2.95,19.6817
215,3.425,-5.9267
215,3.9,-38.7575
216,0.2,-28.6044
216,0.6667,-2.6712
216,1.1333,16.6464
216,1.6,28.5304
216,1.6,32.7608
216,2.1,29.6014
216,2.6,18.2211
216,3.1,0
217,0.1,-29.6984
217,0.4667,-22.1941
217,0.8333,-18.81
217,1.2,-19.5461
218,0.2,-47.8339
218,0.6667,-10.1413
218,1.1333,20.9357
218,1.6,44.5805
218,1.6,40.3502
218,2.1,49.5739
218,2.6,49.1965
218,3.1,39.2199
218,3.1,46.1844
218,3.5,26.075
218,3.9,0.8264
218,4.3,-29.5553
219,0.1,-9.3481
219,0.5,23.7652
219,0.5,22.7274
219,0.8667,34.1355
219,1.2333,38.8254
219,1.6,36.2565
219,1.6,36.2565
219,2,24.984
219,2.4,5.4807
219,2.8,-21.5467
219,2.8,-21.8444
219,2.9,-34.5375
219,2.9,-11.7354
219,3,-0.556
220,0.2,-12.6194
220,0.7,6.8662
220,1.2,18.3217
220,1.7,18.9969
220,2.2,7.4019
220,2.7,-15.3687
220,3.2,-47.2447
220,3.2,-53.8039
220,3.6,-23.1606
220,4,3.4034
221,0,-1.3607
221,0.4333,4.5417
221,0.8667,4.715
221,1.3,0
222,0.1,-17.3792
222,0.5667,2.1053
222,1.0333,14.6386
222,1.5,19.0986
222,1.9667,14.7371
222,2.4333,2.3023
222,2.9,-17.0838
223,0.1,-19.1885
223,0.4667,-18.8822
223,0.8333,-22.6961
223,1.2,-30.6301
224,0.2,-28.2013
224,0.6667,-2.3797
224,1.1333,16.8262
224,1.6,28.5986
224,1.6,33.1197
224,2.1,29.8406
224,2.6,18.3407
224,3.1,0
225,0.2,-48.6023
225,0.6667,-10.4507
225,1.1333,21.0854
225,1.6,45.1891
225,1.6,40.6681
225,2.1,50.3836
225,2.6,50.498
225,3.1,41.0131
225,3.1,47.6731
225,3.5667,23.0136
225,4.0333,-8.6409
225,4.5,-47.2407
226,0.2,-36.4565
226,0.7,-3.6211
226,1.2,21.1905
226,1.7,35.7066
226,2.2,38.86
226,2.7,30.5348
226,3.2,11.123
226,3.7,-18.1129
226,4.2,-55.7867
227,0.2,-15.8324
227,0.6667,5.8696
227,1.1333,20.737
227,1.6,26.5291
227,2.0667,22.0343
227,2.5333,8.9415
227,3,-10.5051
227,3,-9.7501
227,3.1,-27.2328
227,3.1,-10.0994
227,3.2,-1.4691
228,0,0
228,0.4,6.4519
228,0.8,8.8534
228,1.2,6.4519
228,1.6,0
229,0,0
229,0.4625,15.9055
229,0.925,27.6851
229,1.3875,35.3102
229,1.85,38.7807
229,2.3125,38.0966
229,2.775,33.258
229,3.2375,24.2648
229,3.7,11.1458
229,3.7,20.7339
229,4.1,-25.0709
230,0.1,-1.0929
230,0.6,23.3114
230,1.1,36.5706
230,1.1,36.6693
230,1.4667,28.9953
230,1.8333,15.3541
230,2.2,-4.3649
231,0,-44.4455
231,0.4625,-23.3782
231,0.925,-6.1092
231,1.3875,7.3594
231,1.85,17.0277
231,2.3125,22.8957
231,2.775,24.9635
231,3.2375,23.2309
231,3.7,17.6998
231,3.7,25.0843
231,4.1,-12.8366
232,0,0
232,0.5,12.0737
232,1,17.507
232,1.5,15.6024
232,2,6.358
232,2.5,-10.0297
233,0,-60.6319
233,0.45,-12.4535
233,0.9,31.1248
233,0.9,23.7405
233,1.3429,38.6486
233,1.7857,46.4661
233,2.2286,46.1263
233,2.6714,37.538
233,3.1143,20.8323
233,3.5571,-3.2175
233,4,-33.2763
234,0.1,-41.3355
234,0.5875,-6.7637
234,1.075,20.1677
234,1.5625,38.1795
234,2.05,46.2225
234,2.5375,44.0995
234,3.025,32.0077
234,3.5125,10.9962
234,4,-17.6556
235,0.2,-14.1907
235,0.6667,2.5111
235,1.1333,12.0213
235,1.6,13.2181
235,2.0667,5.4856
235,2.5333,-10.3201
235,3,-33.0771
236,0.1,-41.0675
236,0.6,-8.8699
236,1.1,15.2559
236,1.6,29.9299
236,2.1,34.0018
236,2.6,27.2416
236,3.1,9.8795
236,3.6,-16.9346
236,4.1,-51.8204
237,0.1,-52.2463
237,0.5875,-17.1873
237,1.075,10.2313
237,1.5625,28.7308
237,2.05,37.3367
237,2.5375,35.9078
237,3.025,24.5072
237,3.5125,3.9325
237,4,-24.5449
238,0,0
238,0.4333,5.7901
238,0.8667,6.6921
238,1.3,1.8368
238,1.3,7.0203
238,1.7,-18.8347
238,2.1,-48.9457
239,0.1,-43.1027
239,0.5833,-12.5902
239,1.0667,8.8323
239,1.55,19.6135
239,2.0333,18.9092
239,2.5167,8.2963
239,3,-9.7342
240,0.2,-35.3181
240,0.7,-2.084
240,1.2,23.122
240,1.7,37.9333
240,2.2,41.2439
240,2.7,32.9379
240,3.2,13.4074
240,3.7,-16.0855
240,4.2,-54.1456
241,0,-1.6241
241,0.1,-10.3375
241,0.1,-28.1716
241,0.2,-12.1157
241,0.2,-12.8751
241,0.6667,7.2056
241,1.1333,20.9326
241,1.6,26.0616
241,2.0667,20.9036
241,2.5333,6.6704
241,3,-14.3975
242,0,0
242,0.4333,4.8508
242,0.8667,4.8508
242,1.3,0
243,0,0
243,0.4333,4.8508
243,0.8667,4.8508
243,1.3,0
244,0,0
244,0.2,11.5898
244,0.2,11.59
244,0.6667,34.0867
244,1.1333,50.5902
244,1.6,60.3601
244,1.6,62.0885
244,1.95,50.8713
244,2.3,36.6699
244,2.3,36.6695
244,2.8,0
245,0,0
245,0.2,14.6708
245,0.2,14.6716
245,0.6,33.0818
245,1,47.5122
245,1,45.3647
245,1.4667,40.1708
245,1.9333,28.09
245,2.4,9.7916
245,2.4,9.7913
245,2.6,0
246,0,0
246,0.4429,13.7203
246,0.8857,22.3615
246,1.3286,25.0041
246,1.7714,21.5637
246,2.2143,12.0404
246,2.6571,-3.5586
246,3.1,-24.8076
247,0,0
247,0.3667,14.185
247,0.7333,25.0683
247,1.1,32.3225
247,1.1,35.0116
247,1.6,29.4791
247,2.1,16.7593
247,2.6,-3.9389
247,3.1,-32.1555
273,0.2,-30.0215
273,0.6667,-9.3115
273,1.1333,4.3399
273,1.6,9.8111
273,2.0667,6.4863
273,2.5333,-4.7788
273,3,-22.8619
274,0.1,-32.273
274,0.6,1.2249
274,1.1,26.8039
274,1.6,43.0839
274,2.1,48.9147
274,2.6,44.0663
274,3.1,28.7687
274,3.6,4.172
274,4.1,-28.3435
275,0.1,-28.7899
275,0.5875,3.7781
275,1.075,28.851
275,1.5625,45.15
275,2.05,51.7008
275,2.5375,48.362
275,3.025,35.1969
275,3.5125,13.003
275,4,-16.9484
276,0.1,-1.759
276,0.5667,18.7217
276,1.0333,32.3843
276,1.5,38.1068
276,1.9667,35.1409
276,2.4333,24.2349
276,2.9,6.5108
277,0.1,4.2121
277,0.5667,5.6762
277,1.0333,0.369
277,1.5,-11.7095
278,0.1,-11.8943
278,0.4667,-1.8548
278,0.8333,4.1709
278,1.2,6.293
278,1.2,6.293
278,1.7,-3.8336
278,2.2,-21.2676
279,0.1,-21.3539
279,0.4667,-9.7674
279,0.8333,-2.1948
279,1.2,1.4744
279,1.2,1.4744
279,1.65,-5.0782
